id,language,is_tts,group_key
te_f_health_00173,Telugu,1,te_f
DOI_M_FEAR_00224,Dogri,0,DOI_M
MAL_F_SURPRISE_00272,Malayalam,1,MAL_F
DOI_M_BOOK_01082,Dogri,0,DOI_M
text4453,Odia,1,text4453
te_f_other_02675,Telugu,1,te_f
BRX_F_BB_00165,Bodo,0,BRX_F
SAN_M_ALEXA_00051,Sanskrit,1,SAN_M
SAN_M_DISGUST_00033,Sanskrit,0,SAN_M
ASM_F_FEAR_00142,Assamese,1,ASM_F
en_m_EN_O_2629,English,0,en_m
KAN_M_NEWS_00798,Kannada,1,KAN_M
NEP_F_DISGUST_00485,Nepali,1,NEP_F
DOI_M_DISGUST_00322,Dogri,0,DOI_M
BRX_F_HAPPY_00092,Bodo,0,BRX_F
train_gujaratifemale_01781,Gujarati,0,train_gujaratifemale
BEN_M_CONV_00506,Bengali,0,BEN_M
BEN_M_HAPPY_00013,Bengali,0,BEN_M
MAL_F_INDIC_00018,Malayalam,1,MAL_F
ASM_F_WIKI_02825,Assamese,1,ASM_F
ASM_F_HAPPY_00234,Assamese,0,ASM_F
MAL_F_BOOK_00989,Malayalam,1,MAL_F
DOI_M_ANGER_00118,Dogri,1,DOI_M
KAN_M_DISGUST_00101,Kannada,1,KAN_M
text5211,Odia,1,text5211
te_f_education_02262,Telugu,0,te_f
NEP_F_DIGI_00080,Nepali,1,NEP_F
MAL_F_SAD_00444,Malayalam,0,MAL_F
train_manipurimale_03724,Manipuri,0,train_manipurimale
BEN_M_SANGRAH_01590,Bengali,0,BEN_M
MAR_F_BOOK_01223,Marathi,0,MAR_F
text0697,Odia,0,text0697
KAN_M_UMANG_00109,Kannada,0,KAN_M
NEP_F_CONV_01529,Nepali,0,NEP_F
train_manipurimale_03084,Manipuri,1,train_manipurimale
te_f_books_socialscience_07079,Telugu,0,te_f
MAR_F_INDIC_00073,Marathi,1,MAR_F
SAN_M_CONV_01636,Sanskrit,1,SAN_M
MAR_F_CONV_02094,Marathi,1,MAR_F
te_f_books_socialscience_02232,Telugu,0,te_f
BEN_M_BB_00204,Bengali,0,BEN_M
MAL_F_NAMES_01869,Malayalam,1,MAL_F
train_manipurimale_01748,Manipuri,0,train_manipurimale
SAN_M_CONV_00811,Sanskrit,0,SAN_M
te_f_agri_02975,Telugu,1,te_f
DOI_M_DISGUST_00301,Dogri,0,DOI_M
MAR_F_CONV_02208,Marathi,0,MAR_F
MAL_F_WIKI_02193,Malayalam,0,MAL_F
train_manipurimale_00084,Manipuri,0,train_manipurimale
DOI_M_DIGI_00054,Dogri,1,DOI_M
BEN_M_UMANG_00370,Bengali,1,BEN_M
text3320,Odia,0,text3320
train_manipurimale_01544,Manipuri,1,train_manipurimale
